tier,name,domain,website,linkedin,phone,city,country,founded,revenue_printed,naics,apollo_id
A,Trasporti Romagna Spa,trasportiromagna.com,http://www.trasportiromagna.com,http://www.linkedin.com/company/trasporti-romagna-spa,+39 0445 638801,,,1925,197M,49312,5e572b7a25a03c0001ea51d8
A,Avion Company S.p.A.,avioninternational.com,http://www.avioninternational.com,http://www.linkedin.com/company/avion-company-s-p-a-,,,,1995,73M,488510,5ed324a944a4a20001ce0d37
A,MITSAFETRANS TRASPORTI & LOGISTICA HI-TECH,mitsafetrans.it,http://www.mitsafetrans.it,http://www.linkedin.com/company/mitsafetrans,+39 02 921591,,,1983,67M,488510,5a9ea10fa6da98d98c6ed9e5
A,Express Global,expressglobal.com,http://www.expressglobal.com,http://www.linkedin.com/company/express_global,+39 081 420 1811,,,1999,59M,49311,5f4899fa3a0f930001b50645
A,Laghezza spa,laghezza.com,http://www.laghezza.com,http://www.linkedin.com/company/laghezzaspa,,,,,56M,"488510,484121,493110",5a9e0d45a6da98d97e79f2fe
A,Aldieri  S.p.A.,aldieri.it,http://www.aldieri.it,http://www.linkedin.com/company/aldieri-autotrasporti-s.p.a.,+39 02 84203,,,2000,43.7M,"488510,484121,493110",5c21869680f93e27db47a410
A,Albatrans International Freight Forwarders,albatrans.com,http://www.albatrans.com,http://www.linkedin.com/company/albatrans-international-freight-forwarders,+39 05 5731 1071,,,1993,39M,"488510,493110",5d0a75d180f93e99acd8690d
A,Autotrasporti Vercesi S.p.A.,autotrasportivercesi.com,http://www.autotrasportivercesi.com,http://www.linkedin.com/company/autotrasporti-vercesi-societa-per-azioni,+39 02 9536 4156,,,1960,34.4M,,5e55b197f77548000178b14c
A,TLC Transportation & Logistic Consulting,tlc-com.ch,http://www.tlc-com.ch,http://www.linkedin.com/company/tlc-transportation-&-logistic-consulting,+41 22 850 00 25,,,2001,5.5M,48851,54a1a2b674686949e731b203
A,OneExpress Italia Spa,oneexpress.it,http://www.oneexpress.it,http://www.linkedin.com/company/oneexpress-italia-spa,+39 051 376 6611,,,2007,5.5M,,54a1287e69702d9ebc9fff00
A,Nicoli Trasporti Spedizioni SpA,nicolitrasporta.it,http://www.nicolitrasporta.it,http://www.linkedin.com/company/nicolitrasportispedizionispa,+39 035 775621,,,,,"48423,484121,493110",5c24a03ea3ae61cd00070c44
A,CST LOGISTICA TRASPORTI,csttrasporti.it,http://www.csttrasporti.it,http://www.linkedin.com/company/cst-logistica-e-trasporti,+39 041 584 6211,,,1990,,"48411,48851,49311",5a9e312aa6da98d9977a6a64
A,AMT S.A.,amt-sa.com,http://www.amt-sa.com,http://www.linkedin.com/company/amt-sa,+41 22 354 25 25,,,1999,,"48851,48839,213112",5f4a81b9b022d80001c34983
A,Foppiani Shipping & Logistics,foppianishipping.com,http://www.foppianishipping.com,http://www.linkedin.com/company/foppiani,+39 0574 72951,,,2007,,"488510,493110",5cb6ce40a3ae619a9a3124bf
A,Bongiorno Srl - Spedizioni Internazionali,bongiornotrasporti.it,http://www.bongiornotrasporti.it,http://www.linkedin.com/company/bongiorno-srl,+39 0331 776334,,,1985,,488510,56e0df77f3e5bb68e5003f4f
A,ZANINONI S.p.A.,zaninoni.biz,http://www.zaninoni.biz,http://www.linkedin.com/company/zaninonis.p.a.,+39 035 666 7811,,,1979,,"488510,493110",5a9cef16a6da98d985295268
A,Trasporti Pesanti,pesantisrl.it,http://www.pesantisrl.it,http://www.linkedin.com/company/trasporti-pesanti-s.r.l.,+39 0375 758900,,,1945,,"484121,484122,488510",5e5653e72174ca00016b807e
A,Dorica Express Group,doricagroup.com,http://www.doricagroup.com,http://www.linkedin.com/company/dorica-express-group,,,,2009,,"484121,484122",5ed33a11caed920001fa5917
A,Pevere Trasporti e Spedizioni Srl,peveregroup.com,http://www.peveregroup.com,http://www.linkedin.com/company/pevere-trasporti-e-spedizioni,+39 0432 498400,,,1926,,"484121,484122,488510",57c4bf3ca6da9836fa1a2040
A,PESENTI - Trasporti & Logistica - Member of Rhenus Group,pesenti.com,http://www.pesenti.com,http://www.linkedin.com/company/autotrasporti-pesenti--trasporti-&-logistica,+39 035 203234,,,1953,,48423,56dd858ef3e5bb1ad9005a50
